,multiclase1,ova_5,ova_1,ova_8,ova_6,ova_2,ova_3,ova_4,ova_7,ova_9
382,1,0,1,0,0,0,0,0,0,0
383,1,0,1,0,0,0,0,0,0,0
384,3,0,0,0,0,0,1,0,0,0
385,4,0,0,0,0,0,0,1,0,0
386,1,0,1,0,0,0,0,0,0,0
387,1,0,1,0,0,0,0,0,0,0
388,3,0,0,0,0,0,1,0,0,0
389,6,0,0,0,1,0,0,0,0,0
390,8,0,0,1,0,0,0,0,0,0
391,5,1,0,0,0,0,0,0,0,0
392,1,0,1,0,0,0,0,0,0,0
393,1,0,1,0,0,0,0,0,0,0
394,1,0,1,0,0,0,0,0,0,0
395,4,0,0,0,0,0,0,1,0,0
396,1,0,1,0,0,0,0,0,0,0
397,2,0,0,0,0,1,0,0,0,0
398,4,0,0,0,0,0,0,1,0,0
399,5,1,0,0,0,0,0,0,0,0
400,2,0,0,0,0,1,0,0,0,0
401,1,0,1,0,0,0,0,0,0,0
402,2,0,0,0,0,1,0,0,0,0
403,1,0,1,0,0,0,0,0,0,0
404,5,1,0,0,0,0,0,0,0,0
405,1,0,1,0,0,0,0,0,0,0
406,1,0,1,0,0,0,0,0,0,0
407,1,0,1,0,0,0,0,0,0,0
408,1,0,1,0,0,0,0,0,0,0
409,1,0,1,0,0,0,0,0,0,0
410,1,0,1,0,0,0,0,0,0,0
411,3,0,0,0,0,0,1,0,0,0
412,3,0,0,0,0,0,1,0,0,0
413,1,0,1,0,0,0,0,0,0,0
414,2,0,0,0,0,1,0,0,0,0
415,5,1,0,0,0,0,0,0,0,0
416,4,0,0,0,0,0,0,1,0,0
417,1,0,1,0,0,0,0,0,0,0
418,1,0,1,0,0,0,0,0,0,0
419,4,0,0,0,0,0,0,1,0,0
420,2,0,0,0,0,1,0,0,0,0
421,8,0,0,1,0,0,0,0,0,0
422,2,0,0,0,0,1,0,0,0,0
423,8,0,0,1,0,0,0,0,0,0
424,4,0,0,0,0,0,0,1,0,0
425,1,0,1,0,0,0,0,0,0,0
426,2,0,0,0,0,1,0,0,0,0
427,9,0,0,0,0,0,0,0,0,1
428,1,0,1,0,0,0,0,0,0,0
429,1,0,1,0,0,0,0,0,0,0
430,2,0,0,0,0,1,0,0,0,0
431,1,0,1,0,0,0,0,0,0,0
432,7,0,0,0,0,0,0,0,1,0
433,1,0,1,0,0,0,0,0,0,0
434,2,0,0,0,0,1,0,0,0,0
435,3,0,0,0,0,0,1,0,0,0
436,4,0,0,0,0,0,0,1,0,0
437,5,1,0,0,0,0,0,0,0,0
438,5,1,0,0,0,0,0,0,0,0
439,1,0,1,0,0,0,0,0,0,0
440,1,0,1,0,0,0,0,0,0,0
441,1,0,1,0,0,0,0,0,0,0
442,3,0,0,0,0,0,1,0,0,0
443,1,0,1,0,0,0,0,0,0,0
444,8,0,0,1,0,0,0,0,0,0
445,5,1,0,0,0,0,0,0,0,0
446,3,0,0,0,0,0,1,0,0,0
447,1,0,1,0,0,0,0,0,0,0
448,2,0,0,0,0,1,0,0,0,0
449,4,0,0,0,0,0,0,1,0,0
450,5,1,0,0,0,0,0,0,0,0
451,1,0,1,0,0,0,0,0,0,0
452,3,0,0,0,0,0,1,0,0,0
453,4,0,0,0,0,0,0,1,0,0
454,1,0,1,0,0,0,0,0,0,0
455,1,0,1,0,0,0,0,0,0,0
456,4,0,0,0,0,0,0,1,0,0
457,3,0,0,0,0,0,1,0,0,0
458,1,0,1,0,0,0,0,0,0,0
459,1,0,1,0,0,0,0,0,0,0
460,1,0,1,0,0,0,0,0,0,0
461,1,0,1,0,0,0,0,0,0,0
462,1,0,1,0,0,0,0,0,0,0
463,1,0,1,0,0,0,0,0,0,0
464,1,0,1,0,0,0,0,0,0,0
465,7,0,0,0,0,0,0,0,1,0
